Function / Unit / Skill,Specialisation / Unit,Topic
Info Tech: Infrastructure,Systems & Middleware Management: Backup/ Storage / Virtualisation Management,Technology & Engineering
Info Tech: Infrastructure,Systems & Middleware Management: Desktops / Servers Management,Technology & Engineering
Info Tech: IT Governance & Strategy,Business Unit IT Management,Technology & Engineering
Info Tech: IT Governance & Strategy,Change & Transformation Management,Technology & Engineering
Info Tech: IT Governance & Strategy,Enterprise Architecture,Technology & Engineering
Info Tech: IT Governance & Strategy,Process Improvement & Optimisation and Problem Management,Technology & Engineering
Info Tech: IT Governance & Strategy,Technology Management & Innovation,Technology & Engineering
Info Tech: IT Governance & Strategy,Vendor and Contract Management,Technology & Engineering
Info Tech: Product Management,Enterprise Architecture: Business Architecture,Commercial & Business Development
Info Tech: Product Management,IP Management: Product Intellectual Property Management,Commercial & Business Development
Info Tech: Product Management,Product Life Cycle Management: Customer Experience Management - CX,Commercial & Business Development
Info Tech: Product Management,Product Life Cycle Management: Product Configuration Management,Commercial & Business Development
Info Tech: Product Management,Product Life Cycle Management: Product Development Lifecycle Management,Commercial & Business Development
Info Tech: Product Management,Product Life Cycle Management: Vendor Management,Commercial & Business Development
Legal and Corporate Secretariat,Legal - Merger and Acquisition,Commercial & Business Development
Legal and Corporate Secretariat,Legal - Personal Data Protection - PDPA,Commercial & Business Development
Operations,"Auxiliary, Governmental and Customs Management",Operations & Supply Chain
Operations,Container Planning Management,Operations & Supply Chain
Operations,Container Terminal Management,Operations & Supply Chain
Operations,Multi-purpose Terminals,Operations & Supply Chain
Operations,"Resource Planning, Deployment and Support",Operations & Supply Chain
Operations,Stowage Planning,Operations & Supply Chain
Operations,Transhipment,Operations & Supply Chain
Operations,Yard Operations and Planning,Operations & Supply Chain
Procurement,Category Management,Corporate Strategy & People
Procurement,Global Framework Agreement development,Corporate Strategy & People
Procurement,Supplier Management,Corporate Strategy & People
Procurement,Sustainable Procurement,Corporate Strategy & People
Supply Chain and Logistics,4PL,Operations & Supply Chain
Supply Chain and Logistics,CFS,Operations & Supply Chain
Supply Chain and Logistics,Contract Logistics,Operations & Supply Chain
Supply Chain and Logistics,Port Ecosystem,Operations & Supply Chain
Sustainability,Energy Generalist,Corporate Strategy & People
Sustainability,Energy Policy and Regulations,Corporate Strategy & People
Sustainability,ESG policies and strategies,Corporate Strategy & People
Sustainability,International Forum Green Advocacy,Corporate Strategy & People
Sustainability,Maritime and Shipping Decarbonisation,Corporate Strategy & People
Sustainability,Sustainable Supply Chain Management: Green Logistics,Corporate Strategy & People
Sustainability,Waste Management,Corporate Strategy & People
